gsm,field,raw_value,reason
GSM3646837,age,12,number_without_unit
GSM3646838,age,12,number_without_unit
GSM3646839,age,12,number_without_unit
GSM3646840,age,12,number_without_unit
GSM3646841,age,12,number_without_unit
GSM3646842,age,12,number_without_unit
GSM3646843,age,12,number_without_unit
GSM3646844,age,12,number_without_unit
GSM3646845,age,12,number_without_unit
GSM3646846,age,12,number_without_unit
GSM3646847,age,12,number_without_unit
GSM3646848,age,12,number_without_unit
GSM3646849,age,12,number_without_unit
GSM3646850,age,12,number_without_unit
GSM3646851,age,12,number_without_unit
GSM3646852,age,12,number_without_unit
GSM3646853,age,12,number_without_unit
GSM3646854,age,12,number_without_unit
GSM3646855,age,12,number_without_unit
GSM3646856,age,12,number_without_unit
GSM3646857,age,12,number_without_unit
GSM3646858,age,12,number_without_unit
GSM3646859,age,12,number_without_unit
GSM3646860,age,12,number_without_unit
GSM3646861,age,12,number_without_unit
GSM3646862,age,12,number_without_unit
GSM3646863,age,12,number_without_unit
GSM3646864,age,12,number_without_unit
GSM3646865,age,12,number_without_unit
GSM3646866,age,12,number_without_unit
GSM3646867,age,12,number_without_unit
GSM3646868,age,12,number_without_unit
GSM3646869,age,12,number_without_unit
GSM3646870,age,12,number_without_unit
GSM3646871,age,12,number_without_unit
GSM3646872,age,12,number_without_unit
GSM3646873,age,12,number_without_unit
GSM3646874,age,12,number_without_unit
GSM3646875,age,12,number_without_unit
GSM3646876,age,12,number_without_unit
GSM3646877,age,12,number_without_unit
GSM3646878,age,12,number_without_unit
GSM3646879,age,12,number_without_unit
GSM3646880,age,12,number_without_unit
GSM3646881,age,12,number_without_unit
GSM3646882,age,12,number_without_unit
GSM3646883,age,12,number_without_unit
GSM3646884,age,12,number_without_unit
GSM3646885,age,12,number_without_unit
GSM3646886,age,12,number_without_unit
GSM3646887,age,12,number_without_unit
GSM3646888,age,12,number_without_unit
GSM3646889,age,12,number_without_unit
GSM3646890,age,12,number_without_unit
GSM3646891,age,12,number_without_unit
GSM3646892,age,12,number_without_unit
GSM3646893,age,12,number_without_unit
GSM3646894,age,12,number_without_unit
GSM3646895,age,12,number_without_unit
GSM3646896,age,12,number_without_unit
GSM3646897,age,12,number_without_unit
GSM3646898,age,12,number_without_unit
GSM3646899,age,12,number_without_unit
GSM3646900,age,12,number_without_unit
GSM3646901,age,12,number_without_unit
GSM3646902,age,12,number_without_unit
GSM3646903,age,12,number_without_unit
GSM3646904,age,12,number_without_unit
GSM3646905,age,12,number_without_unit
GSM3646906,age,12,number_without_unit
GSM3646907,age,12,number_without_unit
GSM3646908,age,12,number_without_unit
GSM3646909,age,12,number_without_unit
GSM3646910,age,12,number_without_unit
GSM3646911,age,12,number_without_unit
GSM3646912,age,12,number_without_unit
GSM3646913,age,12,number_without_unit
GSM3646914,age,12,number_without_unit
GSM3646915,age,12,number_without_unit
GSM3646916,age,12,number_without_unit
GSM3646917,age,12,number_without_unit
GSM3646918,age,12,number_without_unit
GSM3646919,age,12,number_without_unit
GSM3646920,age,12,number_without_unit
GSM3646921,age,12,number_without_unit
GSM3646922,age,12,number_without_unit
GSM3646923,age,12,number_without_unit
GSM3646924,age,12,number_without_unit
GSM3646925,age,12,number_without_unit
GSM3646926,age,12,number_without_unit
GSM3646927,age,12,number_without_unit
GSM3646928,age,12,number_without_unit
GSM3646929,age,12,number_without_unit
GSM3646930,age,12,number_without_unit
GSM3646931,age,12,number_without_unit
GSM3646932,age,12,number_without_unit
GSM3646933,age,12,number_without_unit
GSM3646934,age,12,number_without_unit
GSM3646935,age,12,number_without_unit
GSM3646936,age,12,number_without_unit
GSM3646937,age,12,number_without_unit
GSM3646938,age,12,number_without_unit
GSM3646939,age,12,number_without_unit
GSM3646940,age,12,number_without_unit
GSM3646941,age,12,number_without_unit
GSM3646942,age,12,number_without_unit
GSM3646943,age,12,number_without_unit
GSM3646944,age,12,number_without_unit
GSM3646945,age,12,number_without_unit
GSM3646946,age,12,number_without_unit
GSM3646947,age,12,number_without_unit
GSM3646948,age,12,number_without_unit
GSM3646949,age,12,number_without_unit
GSM3646950,age,12,number_without_unit
GSM3646951,age,12,number_without_unit
GSM3646952,age,12,number_without_unit
GSM3646953,age,12,number_without_unit
GSM3646954,age,12,number_without_unit
GSM3646955,age,12,number_without_unit
GSM3646956,age,12,number_without_unit
GSM3646957,age,12,number_without_unit
GSM3646958,age,12,number_without_unit
GSM3646959,age,12,number_without_unit
GSM3646960,age,12,number_without_unit
GSM3646961,age,12,number_without_unit
GSM3646962,age,12,number_without_unit
GSM3646963,age,12,number_without_unit
GSM3646964,age,12,number_without_unit
GSM3646965,age,12,number_without_unit
GSM3646966,age,12,number_without_unit
GSM3646967,age,12,number_without_unit
GSM3646968,age,12,number_without_unit
GSM3646969,age,12,number_without_unit
GSM3646970,age,12,number_without_unit
GSM3646971,age,12,number_without_unit
GSM3646972,age,12,number_without_unit
GSM3646973,age,12,number_without_unit
GSM3646974,age,12,number_without_unit
GSM3646975,age,12,number_without_unit
GSM3646976,age,12,number_without_unit
GSM3646977,age,12,number_without_unit
GSM3646978,age,12,number_without_unit
GSM3646979,age,12,number_without_unit
GSM3646980,age,12,number_without_unit
GSM3646981,age,12,number_without_unit
GSM3646982,age,12,number_without_unit
GSM3646983,age,12,number_without_unit
GSM3646984,age,12,number_without_unit
GSM3646985,age,12,number_without_unit
GSM3646986,age,12,number_without_unit
GSM3646987,age,12,number_without_unit
GSM3646988,age,12,number_without_unit
GSM3646989,age,12,number_without_unit
GSM3646990,age,12,number_without_unit
GSM3646991,age,12,number_without_unit
GSM3646992,age,12,number_without_unit
GSM3646993,age,12,number_without_unit
GSM3646994,age,12,number_without_unit
GSM3646995,age,12,number_without_unit
GSM3646996,age,12,number_without_unit
GSM3646997,age,12,number_without_unit
GSM3646998,age,12,number_without_unit
GSM3646999,age,12,number_without_unit
GSM3647000,age,12,number_without_unit
GSM3647001,age,12,number_without_unit
GSM3647002,age,12,number_without_unit
GSM3647003,age,12,number_without_unit
GSM3647004,age,12,number_without_unit
GSM3647005,age,12,number_without_unit
GSM3647006,age,12,number_without_unit
GSM3647007,age,12,number_without_unit
GSM3647008,age,12,number_without_unit
GSM3647009,age,12,number_without_unit
GSM3647010,age,12,number_without_unit
GSM3647011,age,12,number_without_unit
GSM3647012,age,12,number_without_unit
GSM3647013,age,12,number_without_unit
GSM3647014,age,12,number_without_unit
GSM3647015,age,12,number_without_unit
GSM3647016,age,12,number_without_unit
GSM3647017,age,12,number_without_unit
GSM3647018,age,12,number_without_unit
GSM3647019,age,12,number_without_unit
GSM3647020,age,12,number_without_unit
GSM3647021,age,12,number_without_unit
GSM3647022,age,12,number_without_unit
GSM3647023,age,12,number_without_unit
GSM3647024,age,12,number_without_unit
GSM3647025,age,12,number_without_unit
GSM3647026,age,12,number_without_unit
GSM3647027,age,12,number_without_unit
GSM3647028,age,12,number_without_unit
GSM3647029,age,12,number_without_unit
GSM3647030,age,12,number_without_unit
GSM3647031,age,12,number_without_unit
GSM3647032,age,12,number_without_unit
GSM3647033,age,12,number_without_unit
GSM3647034,age,12,number_without_unit
GSM3647035,age,12,number_without_unit
GSM3647036,age,12,number_without_unit
GSM3647037,age,12,number_without_unit
GSM3647038,age,12,number_without_unit
GSM3647039,age,12,number_without_unit
GSM3647040,age,12,number_without_unit
GSM3647041,age,12,number_without_unit
GSM3647042,age,12,number_without_unit
GSM3647043,age,12,number_without_unit
GSM3647044,age,12,number_without_unit
GSM3647045,age,12,number_without_unit
GSM3647046,age,12,number_without_unit
GSM3647047,age,12,number_without_unit
GSM3647048,age,12,number_without_unit
GSM3647049,age,12,number_without_unit
GSM3647050,age,12,number_without_unit
GSM3647051,age,12,number_without_unit
GSM3647052,age,12,number_without_unit
GSM3647053,age,12,number_without_unit
GSM3647054,age,12,number_without_unit
GSM3647055,age,12,number_without_unit
GSM3647056,age,12,number_without_unit
GSM3647057,age,12,number_without_unit
GSM3647058,age,12,number_without_unit
GSM3647059,age,12,number_without_unit
GSM3647060,age,12,number_without_unit
GSM3647061,age,12,number_without_unit
GSM3647062,age,12,number_without_unit
GSM3647063,age,12,number_without_unit
GSM3647064,age,12,number_without_unit
GSM3647065,age,12,number_without_unit
GSM3647066,age,12,number_without_unit
GSM3647067,age,12,number_without_unit
GSM3647068,age,12,number_without_unit
GSM3647069,age,12,number_without_unit
GSM3647070,age,12,number_without_unit
GSM3647071,age,12,number_without_unit
GSM3647072,age,12,number_without_unit
GSM3647073,age,12,number_without_unit
GSM3647074,age,12,number_without_unit
GSM3647075,age,12,number_without_unit
GSM3647076,age,12,number_without_unit
GSM3647077,age,12,number_without_unit
GSM3647078,age,12,number_without_unit
GSM3647079,age,12,number_without_unit
GSM3647080,age,12,number_without_unit
GSM3647081,age,12,number_without_unit
GSM3647082,age,12,number_without_unit
GSM3647083,age,12,number_without_unit
GSM3647084,age,12,number_without_unit
GSM3647085,age,12,number_without_unit
GSM3647086,age,12,number_without_unit
GSM3647087,age,12,number_without_unit
GSM3647088,age,12,number_without_unit
GSM3647089,age,12,number_without_unit
GSM3647090,age,12,number_without_unit
GSM3647091,age,12,number_without_unit
GSM3647092,age,12,number_without_unit
GSM3647093,age,12,number_without_unit
GSM3647094,age,12,number_without_unit
GSM3647095,age,12,number_without_unit
GSM3647096,age,12,number_without_unit
GSM3647097,age,12,number_without_unit
GSM3647098,age,12,number_without_unit
GSM3647099,age,12,number_without_unit
GSM3647100,age,12,number_without_unit
GSM3647101,age,12,number_without_unit
GSM3647102,age,12,number_without_unit
GSM3647103,age,12,number_without_unit
GSM3647104,age,12,number_without_unit
GSM3647105,age,12,number_without_unit
GSM3647106,age,12,number_without_unit
GSM3647107,age,12,number_without_unit
GSM3647108,age,12,number_without_unit
GSM3647109,age,12,number_without_unit
