gsm,title,source_name,organism,molecule,library_strategy,library_source,is_expression,age_raw,age_value,age_unit,age_months,age_stage,age_group,age_rule,age_source,age_flags,sex_raw,sex,sex_rule,sex_source,tissue_raw,tissue,tissue_ontology,cell_type_raw,cell_type,cell_type_ontology,cell_line,sample_type,strain_raw,strain,genotype_raw,genotype_is_control,treatment_raw,treatment_is_control,treatment_source,is_pooled,is_cell_level,series_ids
GSM10005236,MG6_Con_1,MG6,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,,,No treatment,True,field,False,False,GSE345470
GSM10005237,MG6_Con_2,MG6,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,,,No treatment,True,field,False,False,GSE345470
GSM10005238,MG6_Con_3,MG6,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,,,No treatment,True,field,False,False,GSE345470
GSM10005239,MG6_Pal_1,MG6,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,,,Palbociclib treatment,False,field,False,False,GSE345470
GSM10005240,MG6_Pal_2,MG6,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,,,Palbociclib treatment,False,field,False,False,GSE345470
GSM10005241,MG6_Pal_3,MG6,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,,,Palbociclib treatment,False,field,False,False,GSE345470
GSM10005242,MG7_Con_1,MG7,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,MG6 Knockdown,False,No treatment,True,field,False,False,GSE345470
GSM10005243,MG7_Con_2,MG7,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,MG6 Knockdown,False,No treatment,True,field,False,False,GSE345470
GSM10005244,MG7_Con_3,MG7,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,MG6 Knockdown,False,No treatment,True,field,False,False,GSE345470
GSM10005245,MG7_Pal_1,MG7,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,MG6 Knockdown,False,Palbociclib treatment,False,field,False,False,GSE345470
GSM10005246,MG7_Pal_2,MG7,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,MG6 Knockdown,False,Palbociclib treatment,False,field,False,False,GSE345470
GSM10005247,MG7_Pal_3,MG7,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,,,,microglia,microglia,CL:0000129,,isolated cells,,,MG6 Knockdown,False,Palbociclib treatment,False,field,False,False,GSE345470
GSM10005248,AOMK_18M_1,BRAIN,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,BRAIN,brain,UBERON:0000955,microglia,microglia,CL:0000129,,isolated cells,,,WT,True,Inhibitor treatment,False,field,False,False,GSE345471
GSM10005249,AOMK_18M_2,BRAIN,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,BRAIN,brain,UBERON:0000955,microglia,microglia,CL:0000129,,isolated cells,,,WT,True,Inhibitor treatment,False,field,False,False,GSE345471
GSM10005250,AOMK_18M_3,BRAIN,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,BRAIN,brain,UBERON:0000955,microglia,microglia,CL:0000129,,isolated cells,,,WT,True,Inhibitor treatment,False,field,False,False,GSE345471
GSM10005251,DMSO_18M_1,BRAIN,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,BRAIN,brain,UBERON:0000955,microglia,microglia,CL:0000129,,isolated cells,,,WT,True,Inhibitor treatment,False,field,False,False,GSE345471
GSM10005252,DMSO_18M_2,BRAIN,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,BRAIN,brain,UBERON:0000955,microglia,microglia,CL:0000129,,isolated cells,,,WT,True,Inhibitor treatment,False,field,False,False,GSE345471
GSM10005253,DMSO_18M_3,BRAIN,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,BRAIN,brain,UBERON:0000955,microglia,microglia,CL:0000129,,isolated cells,,,WT,True,Inhibitor treatment,False,field,False,False,GSE345471
GSM10005254,WT_2M_1,BRAIN,Mus musculus,total RNA,RNA-Seq,transcriptomic,True,,,,,,,,,,,,,,BRAIN,brain,UBERON:0000955,microglia,microglia,CL:0000129,,isolated cells,,,WT,True,No treatment,True,field,False,False,GSE345471
