gse,title,organism,data_type,published,in_scope,exclusion_reason,fetch_error,score,tier,geo_url
GSE156762,mTOR-dependent translation amplifies microglia priming in ageing,Mus musculus,bulk RNA-seq,2021-07-30,True,,,100.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156762
GSE208386,Bulk RNA-seq of microglia at different ages,Mus musculus,bulk RNA-seq,2023-07-25,True,,,100.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208386
GSE233400,Microglial senescence contributes to female-biased neuroinflammation in the aging mouse hippocampus: implications for Alzheimer’s disease,Mus musculus,bulk RNA-seq,2023-08-18,True,,,100.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233400
GSE287142,Retinoid X Receptor as a Mediator of Post Stroke Recovery by Reversing Age-Associated Phenotypes of Microglia/Hematogenous Macrophages,Mus musculus,bulk RNA-seq,2025-09-17,True,,,100.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287142
GSE131869,Cx3cr1-deficient microglia exhibit a premature aging transcriptome,Mus musculus,bulk RNA-seq,2019-11-25,True,,,98.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131869
GSE115622,Quiescence modulates stem cell maintenance and regenerative capacity in the aging brain – SMART-seq2,Mus musculus,single-cell RNA-seq,2019-02-28,True,,,97.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115622
GSE166548,White matter aging drives microglial diversity,Mus musculus,single-cell RNA-seq,2021-02-18,True,,,97.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166548
GSE188646,Single cell analysis of the aging hypothalamus,Mus musculus,single-cell RNA-seq,2022-05-20,True,,,97.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188646
GSE267529,Microglia undergo sex-dimorphic transcriptional and metabolic rewiring during aging,Mus musculus,single-cell RNA-seq,2024-06-05,True,,,97.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267529
GSE203202,Sex-related differences in Alzheimer’s disease,Mus musculus,microarray,2022-05-20,True,,,94.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203202
GSE85084,Sexually dimorphic induction of microglial-associated neuroinflammation with hippocampal aging,Mus musculus,microarray,2017-01-10,True,,,94.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85084
GSE87102,"Genome-wide profiling of hypothalamus, cerebellum, striatum, and frontal cortex across young, middle-aged, and aged mice",Mus musculus,microarray,2016-09-20,True,,,94.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87102
