gse,title,data_type,score,tier,n_samples,n_young,n_old,age_min_months,age_max_months,sexes,metadata_completeness,sample_types,tissues,cell_types,flags,pubmed_ids,geo_url
GSE208386,Bulk RNA-seq of microglia at different ages,bulk RNA-seq,100.0,ready,64,14,12,3.0,24.0,"female, male",1.0,isolated cells,brain,microglia,treatment_present,37697166,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208386
GSE233400,Microglial senescence contributes to female-biased neuroinflammation in the aging mouse hippocampus: implications for Alzheimer’s disease,bulk RNA-seq,100.0,ready,38,17,21,5.5,23.5,"female, male",1.0,isolated cells,hippocampus,microglia,,37587511;38058312,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233400
GSE287142,Retinoid X Receptor as a Mediator of Post Stroke Recovery by Reversing Age-Associated Phenotypes of Microglia/Hematogenous Macrophages,bulk RNA-seq,100.0,ready,18,3,6,3.0,19.0,male,1.0,isolated cells,brain,macrophage,single_sex;treatment_present,40803891,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287142
GSE156762,mTOR-dependent translation amplifies microglia priming in ageing,bulk RNA-seq,100.0,ready,9,3,3,6.0,23.0,female,1.0,isolated cells,brain,microglia,single_sex,33108356,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156762
GSE131869,Cx3cr1-deficient microglia exhibit a premature aging transcriptome,bulk RNA-seq,98.0,ready,155,19,10,2.0,24.0,"female, male",0.95,"isolated cells, not stated",,microglia,genotype_mixed;treatment_present,31792059,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131869
GSE166548,White matter aging drives microglial diversity,single-cell RNA-seq,97.0,ready,1047,27,287,0.46,28.0,"female, male, mixed",1.0,"isolated cells, tissue","grey matter, prefrontal cortex, white matter",microglia,pooled_samples;single_cell;genotype_mixed,33606969;34159323,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166548
GSE115622,Quiescence modulates stem cell maintenance and regenerative capacity in the aging brain – SMART-seq2,single-cell RNA-seq,97.0,ready,168,8,158,2.0,25.0,male,1.0,"isolated cells, tissue","cerebral cortex, striatum, subventricular zone","astrocyte, microglia",single_sex;single_cell,30827680,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115622
GSE267529,Microglia undergo sex-dimorphic transcriptional and metabolic rewiring during aging,single-cell RNA-seq,97.0,ready,20,10,10,4.0,25.0,"female, male",1.0,isolated cells,hippocampus,microglia,single_cell,38840206,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267529
GSE188646,Single cell analysis of the aging hypothalamus,single-cell RNA-seq,97.0,ready,8,4,4,3.0,21.5,female,1.0,tissue,hypothalamus,,single_sex;single_cell,36285248,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188646
GSE87102,"Genome-wide profiling of hypothalamus, cerebellum, striatum, and frontal cortex across young, middle-aged, and aged mice",microarray,94.0,ready,104,39,34,2.5,23.0,"female, male",1.0,tissue,"cerebellum, cerebral cortex, hypothalamus, striatum",,,27689748,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE87102
GSE203202,Sex-related differences in Alzheimer’s disease,microarray,94.0,ready,36,6,12,,,"female, male",1.0,primary culture,,microglia,qualitative_age;genotype_mixed,35875349,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203202
GSE85084,Sexually dimorphic induction of microglial-associated neuroinflammation with hippocampal aging,microarray,94.0,ready,24,8,8,,,"female, male",1.0,tissue,hippocampus,,qualitative_age,28732515,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85084
GSE182973,Sex modulates microglia in the aging brain,bulk RNA-seq,92.5,ready,22,6,6,1.84,23.0,"female, male",1.0,isolated cells,brain,microglia,no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182973
GSE309778,Lysosomal multi-omics reveals altered sphingolipid catabolism as driver of lysosomal dysfunction in the aging brain.,bulk RNA-seq,92.5,ready,12,4,4,3.0,18.0,male,1.0,tissue,cerebral cortex,,single_sex;no_publication,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309778
GSE75083,Progranulin Deficiency Promotes Circuit-Specific Synaptic Pruning by Microglia via Complement Activation,microarray,91.6,ready,169,27,9,2.0,18.0,"female, male",0.9408,"isolated cells, tissue","cerebellum, cerebral cortex, hippocampus",microglia,genotype_mixed,27114033,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75083
GSE99074,Transcriptomic analysis of purified human cortical microglia reveals age-associated changes,bulk RNA-seq,90.8,ready,71,19,26,2.3,1224.0,"female, male",0.7711,"isolated cells, tissue",brain,microglia,mixed_organisms,28671693,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99074
GSE128770,Age Attenuates the Transcriptional Changes that Occur with Sleep in the Medial Prefrontal Cortex,bulk RNA-seq,90.0,ready,108,54,54,,,,0.75,tissue,prefrontal cortex,,qualitative_age;sex_not_reported,31549781;32928100,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128770
GSE283401,Gene expression profile of Fcrls+/CD11b+/Ly6C- microglia from young and old mice after abdominal surgery,bulk RNA-seq,90.0,ready,96,16,32,4.0,21.0,,0.75,isolated cells,brain,microglia,sex_not_reported;treatment_present,39696348,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283401
GSE98401,MEF2C restrains microglial responses to inflammatory stimuli and is reduced upon IFN-I in brain aging,bulk RNA-seq,90.0,ready,58,15,3,3.0,22.0,,0.75,isolated cells,brain,,age_inferred;sex_not_reported;treatment_present,28959042,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98401
GSE122085,"Characterisation of young, old and old repopulating microglia in spinal cord and brain of C57BL/6 wild type male mice",bulk RNA-seq,90.0,ready,48,16,16,3.0,23.0,,0.75,"isolated cells, tissue","brain, spinal cord",microglia,sex_not_reported;treatment_present,31693894,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122085
GSE123847,RNA sequencing after forced turnover of adult and aged microglia,bulk RNA-seq,90.0,ready,48,12,12,2.0,22.0,,0.75,"isolated cells, tissue",brain,microglia,sex_not_reported;treatment_present,30477578,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123847
GSE168430,"Identification and drug-induced reversion of molecular signatures of Alzheimer´s disease onset and progression in AppNL-G-F, AppNL-F and 3xTg-AD mouse models (RNA-seq: WT/NLF/NLGF)",bulk RNA-seq,90.0,ready,48,12,4,3.0,18.0,,0.75,tissue,hippocampus,,sex_not_reported;genotype_mixed,34702310,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168430
GSE182719,Gut microbiota drives age-related oxidative stress and mitochondrial damage in microglia via the metabolite N(6)-Carboxymethyllysine,bulk RNA-seq,90.0,ready,44,16,24,1.84,23.0,"female, male",0.75,isolated cells,brain,microglia,treatment_present,35241804,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182719
